target,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11
bridge,147.45625730166142,87.26131060971927,69.6223669514476,167.94348902165888,55.129079987646314,70.25716841477221,192.64979152310386,223.9985723222298,170.54554560539898,230.84949676439598,319.52468597425616,31.252947245027926,51.74926245551747,41.13223159327644,61.94508798993087,40.60755237530192,38.48221455658508,237.04444884411924,284.9412335382513,91.27497099296455,64.48199435477763,627.2761808147105
childs,56.00616243198831,46.003336045266146,60.27306045201095,116.92949324504842,47.31696149492537,93.57829415572363,74.2197396946878,57.038308228847676,72.97802376050856,45.7578296970737,90.39372479453415,14.082858708764215,15.052118583831104,25.062826273488525,48.38668053205223,11.603253746039941,16.455008845896693,22.39028213336056,22.03755161700883,11.74779186484913,15.42335324845452,8.652542126763167
downwarddog,44.10774807662862,63.947181362623176,80.67993023955154,118.10870618427417,62.84012534955457,102.3867788713335,50.803915435073534,64.6986187828996,104.92438857774646,79.37526885905942,118.63648582695261,29.035570461395213,33.41480567884351,36.768581130915294,57.89343296048395,24.629971909681707,36.95410496175484,38.53048258685087,42.42654154560214,49.16346651113102,64.92411676600966,63.90154865792737
mountain,2.9429559350834964,2.2577853518913504,7.989678249183213,18.969063673197645,7.970678304240112,19.072963205337675,1.3307441204050507,3.7429149964116486,7.174475378452702,3.7096264561879115,6.981338474747672,19.58258843182915,16.102932855063308,15.385883195618115,42.70567750333841,15.18520338962779,42.13332245119474,16.10302789024661,16.110206765991148,17.87282702275463,16.025911672580655,17.94248481542573
plank,111.31795012844015,69.88556343616031,63.63477582881316,75.53146589179909,69.63173706273126,81.25650232637919,42.68650915027382,84.30810835700665,161.4057375836685,96.5006552296787,172.3532625222739,27.135649103267898,18.698437325633098,52.001937369402256,76.1962057908833,43.809884447561856,72.51799617421925,16.839749974720892,22.497873101731987,36.57453251032822,25.811159600446683,47.19238551883262
seatedforwardbend,80.3766682824181,41.0653928366319,104.50459906552726,153.69863069408785,88.78073165477628,143.06371201968963,96.4799426697468,140.17965285712827,469.68152724959907,166.07292537915438,520.7197883106103,59.86992921327757,28.670754795616386,39.562791438421264,56.23165983386452,24.684800852467593,54.85635564641032,54.18761087254313,38.39110372607041,23.82019871053067,42.376280838560454,63.037387001128145
tree,9.358048945250214,9.511160036476962,22.982294409875237,23.571910050429363,25.623264506687715,21.275965625375363,5.346032114442754,36.98956835642772,11.275836017333976,33.508775254794664,5.432844732823754,25.94330535063421,31.123097936177743,36.244469010088025,47.12952594323788,33.96406766811356,47.11896775876616,22.954102585439802,31.84376522423753,64.71068540852852,29.797828643114826,62.476419107466924
trianglepose,72.16094984397114,34.87781138056668,39.58539121318764,53.87861146650089,38.75076027038474,49.8310649765768,56.69326616908678,68.00551583051578,92.4868437470367,64.57527494969519,85.33068693640476,26.165670240600743,20.740669996654322,88.71713845090541,140.8883607547722,91.98445090820262,140.41157676101386,24.281792295386637,14.550999207509147,20.558093343564252,18.940289117254036,20.58942499837145
warrior1,20.628731854609683,11.557696555769931,35.48502210760176,59.64236926475772,34.80436621513101,55.082014157631924,16.08516872637668,70.3399702210633,107.3780927343481,72.29130961322633,109.06319191267667,25.91621499326989,23.410430718668806,41.963742668660764,69.8669232967836,34.460069982849824,42.96292733549635,21.75373810795199,27.69137176550097,23.805458348213946,24.917066594745773,23.381063524034897
warrior2,15.439411198394305,6.279144640911314,40.357311838149634,63.800397019809694,40.41780316138837,62.49358411564852,5.315068633325449,42.95145342286755,65.69762315681811,42.2948435965192,66.61794176867177,9.278794949586826,7.226784816719659,6.225173021641051,12.19940330899768,9.58279196165902,18.310484075250045,7.215926101933897,17.373233167762805,11.99264618092294,17.70455119268161,12.672664563828805
