target,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11
bridge,2.1771612068965527,12.799640916666666,9.788473333333334,89.91854782608696,0.4213794871794873,-35.66863333333333,-22.888805081967217,-59.41316829268293,-2.154617142857146,24.154270588235292,27.910830000000015,5.844184310344825,5.999911388888884,-22.507896266666666,-39.758086956521744,-25.19000256410256,-44.47830121212121,79.06601967213115,93.00735707317074,-52.18172285714285,50.40232794117646,-175.15788000000003
childs,-4.940767741935483,-3.16265679245283,11.783752,52.291650000000004,-4.209432187500001,-11.313007692307696,-8.853795833333331,-4.82675,-34.66388461538462,9.620484000000001,34.27129545454546,-2.1293919354838704,25.15326301886793,-14.584744000000002,-39.682516666666665,-9.313571874999997,-22.24804230769231,35.509214583333325,-6.541215625,-10.83373076923077,-9.7491972,-12.792772727272729
downwarddog,-10.027590769230768,-8.713010294117652,-24.110219696969697,-13.782303448275867,-22.71792827027027,-41.07185882352943,6.465194507042255,11.840855555555557,15.063515909090912,17.08938016393443,28.497109615384616,-3.485676923076923,40.486705367647055,-15.03538484848485,-72.98608275862068,-20.02509891891892,-64.66375,89.78714225352113,19.233434703703715,-60.686522727272724,34.99431721311475,-76.69513269230767
mountain,-0.007175893750000009,-0.10833398124999997,-43.01669937500001,-50.895126875000024,43.16918875000002,51.10801693750001,-0.150617486,-16.732308749999994,-13.959189312499998,16.62368812500001,13.96856124999999,156.44193749999994,109.92795625000004,64.60852812499999,29.11103124999999,64.74325625000002,28.939961250000003,9.9549948125,-72.35827562499999,-159.43400999999997,-72.36981125000003,-159.56557812499997
plank,24.956925999999985,14.121885185185189,9.384726086956519,15.924659333333336,7.49363720930233,5.558242500000001,-9.899770403846153,-25.05448205128205,-41.67222647058823,-8.037730952380954,-12.349662162162156,47.67763320000001,46.36738888888887,-2.959399130434783,-28.068813333333324,-5.414707906976744,-40.42140499999999,26.71482115384616,-5.000711025641024,-47.57350588235294,0.11667095238095282,-32.98234864864865
seatedforwardbend,8.07045837837838,2.3668152380952385,-42.65605084848485,-30.915375862068966,40.25304333333334,32.82357826086956,-15.089689696969694,-67.18199999999999,-337.61092499999995,95.50992727272728,433.8921,20.92948648648649,32.32104761904762,-12.618842424242425,-21.851994482758617,-17.628638148148152,-28.0997,14.162823333333334,-8.46596153846154,-39.78852500000001,-8.623363636363637,-15.69605
tree,0.5895964516129032,0.7453619402985074,-37.29350624999999,-12.247311587301589,38.524275,14.733018749999998,-1.0555818281249996,-41.706666666666656,-1.9141269790322581,37.214271875,1.5394135483870965,104.8992419354839,61.93696865671642,71.71612031249997,99.04086190476191,73.58516562500004,103.28937031250005,-33.66588906250001,-95.50299047619048,-139.17024677419354,-100.62229687499996,-154.24547258064516
trianglepose,-16.16435728813559,-9.24794576271186,-15.924755172413795,-20.158179310344824,0.06792586206896628,2.531898245614035,9.236315344827586,-42.636746428571435,-81.63539074074073,68.45614690909095,112.05758867924528,68.3730254237288,47.080123728813554,31.479872413793114,20.34680172413793,63.4059879310345,78.33071929824563,13.864413793103452,-49.614862499999994,-125.42723518518518,-48.677403636363636,-123.31050943396225
warrior1,-0.4437263461538464,-0.5222030188679244,-14.092364285714282,-22.03384394736842,19.94551487428572,29.84592754838709,-2.1628088461538475,-32.019158823529416,-54.615888235294115,32.657084313725484,54.438822,92.62072884615387,55.932560377358485,95.14365238095239,125.51169736842104,95.22399428571427,135.16132258064516,-38.286075000000004,-73.3689960784314,-144.12404901960784,-74.98080196078433,-143.239612
warrior2,-2.5179005555555554,0.00022448148148150417,-76.12632037037035,-119.80786481481479,76.75471666666665,120.45281886792452,-1.152517425925926,-76.04170555555557,-111.01748301886795,74.5269648148148,117.27556792452832,107.84197777777776,66.80626666666666,69.21706851851852,71.64403703703704,66.94243518518518,66.9931037735849,-32.94645370370371,-66.14399259259257,-139.11813584905667,-73.4296925925926,-141.7675867924528
